Station,Latitude co-ordinate,Longitude co-ordinate,"Recovery time, tr",Velocity
T-1,23.8866,90.392,26,0.1
T-2,23.8917,90.3894,28,0.1
T-3,23.8958,90.37,26,0.1
T-4,23.8868,90.3583,26,0.1
T-5,23.8771,90.3516,27,0.1
T-6,23.8584,90.3457,26,0.28
T-7,23.8375,90.3381,21,0.17
T-8,23.8237,90.3392,25,0.11
B-9,23.8089,90.3401,26,0.09
B-10,23.7912,90.3399,27,0.08
B-11,23.7759,90.3349,26,0.28
B-12,23.7612,90.3381,27,0.23
B-13,23.7478,90.335,27,0.17
B-14,23.7413,90.3496,29,0.22
B-15,23.7191,90.3606,27,0.34
B-16,23.7081,90.3712,26,0.05
B-17,23.7111,90.3917,28,0.03
B-18,23.7039,90.4119,21,0.06
D-19,23.6898,90.4263,28,0.21
D-20,23.6715,90.4477,29,0.19
D-21,23.6565,90.4593,27,0.17
D-22,23.6417,90.4721,24,0.18
D-23,23.6312,90.4607,26,0.19
D-24,23.6202,90.4569,25,0.18
D-25,23.6038,90.4659,24,0.18
D-26,23.5958,90.4749,25,0.2
S-27,23.5794,90.5045,23,0.18
S-28,23.5703,90.5154,26,0.18
S-29,23.5758,90.5175,27,0.16
S-30,23.5822,90.5125,27,0.17
S-31,23.6058,90.5075,27,0.16
S-32,23.6221,90.5103,28,0.16
S-33,23.6405,90.5204,27,0.15
S-34,23.6665,90.5281,27,0.15
S-35,23.6765,90.5328,28,0.15
S-36,23.7011,90.5212,27,0.14
S-37,23.7159,90.5068,27,0.14
S-38,23.7313,90.5084,27,0.13
